,Product Name,Price,Store,Rating,Most Popular,has_rating
198,Gloaming Kemeja Flanel Veterano Unisex Averin,320000,Gloaming,5.0,1,1
210,Slim Fit Short Sleeve Check Shirt,329900,Executive,5.0,1,1
251,Cuban Viking Blue Casual Shirt,359000,VENGOZ,5.0,1,1
252,POLICE Kemeja Polos Cotton Regular Fit Pria,399000,Police Denim,5.0,1,1
142,POLICE Kemeja Polos Jeans Regular Fit Pria,399000,Police Denim,5.0,1,1
47,Short Sleeve Checks Shirt with Pocket,399900,WOOD,5.0,1,1
108,Kemeja Regular Pria Vertiline,419900,Bombboogie,5.0,1,1
25,Relaxed Fit Long Sleeve Stripe Shirt,429900,WOOD,5.0,1,1
97,Regular Fit Long Sleeve Stripe Shirt,429900,WOOD,5.0,1,1
259,Kemeja Regular Pria Mora,439900,Bombboogie,5.0,1,1
